time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909780,282000,3110290,2148,2148,49642,49640,0,0,49305,49291,49248,49244,2,2,14422,33098,63727,49248,2148,53,19,19,0,0,14423,0,0,53,8,12,0,2022-07-04T07:43:00,415,6.921366666666667,1656909790.4711719,2022-07-04T07:43:10,399317,6.655283333333333,2620.285895317583
1656909794,183000,3124290,2153,2153,49997,49995,0,0,49461,49447,49404,49400,2,2,14460,49305,63921,49404,2153,53,19,19,0,0,14461,0,0,53,89,12,0,2022-07-04T07:43:14,429,7.1530499999999995,1656909803.381589,2022-07-04T07:43:23,413317,6.888616666666667,2701.7539615125233
1656909806,315000,3136290,2160,2160,50488,50486,0,0,49675,49661,49618,49614,2,2,14516,62272,64191,49618,2160,53,19,19,0,0,14517,0,0,53,83,12,0,2022-07-04T07:43:26,441,7.35525,1656909814.254668,2022-07-04T07:43:34,425317,7.088616666666667,2775.5222286336793
1656909829,816000,3159290,2173,2173,51322,51320,0,0,50038,50024,49981,49977,2,2,14611,55099,64649,49981,2173,53,19,19,0,0,14612,0,0,53,188,12,0,2022-07-04T07:43:49,464,7.746933333333333,1656909838.232041,2022-07-04T07:43:58,448317,7.4719500000000005,2915.051622318531
1656909833,370000,3168290,2175,2175,51512,51510,0,0,50123,50109,50066,50062,2,2,14629,49947,64752,50066,2175,53,19,19,0,0,14630,0,0,53,141,12,0,2022-07-04T07:43:53,468,7.806166666666667,1656909848.273128,2022-07-04T07:44:08,457317,7.62195,2950.6719147660647
1656909853,141000,3182290,2187,2187,52114,52112,0,0,50381,50367,50322,50318,2,2,14703,50460,65084,50322,2187,55,19,19,0,0,14704,0,0,55,244,12,0,2022-07-04T07:44:13,488,8.135683333333334,1656909862.1259649,2022-07-04T07:44:22,471317,7.855283333333333,3054.890582029638
1656909863,283000,3192290,2192,2192,52544,52542,0,0,50567,50553,50508,50504,2,2,14756,50474,65323,50508,2192,55,20,20,0,0,14756,0,0,55,78,12,0,2022-07-04T07:44:23,498,8.304716666666668,1656909872.7946079,2022-07-04T07:44:32,481317,8.02195,3110.2121633885713
1656909871,280000,3200290,2200,2200,52880,52878,0,0,50710,50696,50651,50647,2,2,14798,50892,65508,50651,2200,55,20,20,0,0,14798,0,0,55,41,12,0,2022-07-04T07:44:31,506,8.437999999999999,1656909886.324929,2022-07-04T07:44:46,489317,8.155283333333333,3157.000581930563
1656909887,292000,3216290,2206,2206,53354,53352,0,0,50916,50902,50857,50853,2,2,14854,52903,234,50857,2206,55,20,20,0,0,14854,0,0,55,34,12,0,2022-07-04T07:44:47,522,8.704866666666668,1656909896.165288,2022-07-04T07:44:56,505317,8.42195,3256.306553295694
1656909912,640000,3241290,2219,2219,54223,54221,0,0,51293,51279,51233,51229,2,2,14956,53803,713,51233,2219,56,20,20,0,0,14956,0,0,56,9,12,0,2022-07-04T07:45:12,547,9.127333333333333,1656909920.4745328,2022-07-04T07:45:20,530317,8.838616666666667,3413.567742356129
1656909918,386000,3247290,2225,2225,54485,54483,0,0,51405,51391,51345,51341,2,2,14988,54644,857,51345,2225,56,20,20,0,0,14988,0,0,56,128,12,0,2022-07-04T07:45:18,553,9.223099999999999,1656909930.793817,2022-07-04T07:45:30,536317,8.938616666666666,3444.794495057445
