time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch
1656912182,407800,5528010,2.1700000762939453,8953,16926.013671875,150,13,2,2022-07-04T08:23:02,2817,46.95679666666667,1656912190.759701,2022-07-04T08:23:10,2817037,46.95061666666666
1656912189,700700,5535303,2.1700000762939453,8846,17002.66796875,195,13,2,2022-07-04T08:23:09,2824,47.078345,1656912198.580616,2022-07-04T08:23:18,2824330,47.07216666666667
1656912197,190600,5543037,2.140000104904175,8758,17066.41015625,240,13,2,2022-07-04T08:23:17,2832,47.203176666666664,1656912206.330536,2022-07-04T08:23:26,2832064,47.20106666666666
1656912206,944300,5552502,2.009999990463257,8652,17144.048828125,38,13,2,2022-07-04T08:23:26,2841,47.36573833333333,1656912215.269477,2022-07-04T08:23:35,2841529,47.35881666666667
1656912214,353900,5559777,2.049999952316284,8555,17215.935546875,81,13,2,2022-07-04T08:23:34,2849,47.48923166666667,1656912223.0198278,2022-07-04T08:23:43,2848804,47.480066666666666
1656912216,235900,5561925,2.0999999046325684,8538,17228.6171875,91,13,2,2022-07-04T08:23:36,2851,47.52059833333333,1656912230.6597478,2022-07-04T08:23:50,2850952,47.51586666666667
1656912229,915800,5575623,1.8799999952316284,8373,17353.044921875,171,13,2,2022-07-04T08:23:49,2864,47.74859666666667,1656912238.989476,2022-07-04T08:23:58,2864650,47.744166666666665
1656912231,772800,5577480,1.840000033378601,8356,17366.005859375,179,13,2,2022-07-04T08:23:51,2866,47.77954666666667,1656912246.7898319,2022-07-04T08:24:06,2866507,47.77511666666667
1656912244,333100,5589756,2.119999885559082,8270,17431.970703125,250,13,2,2022-07-04T08:24:04,2879,47.988884999999996,1656912251.402196,2022-07-04T08:24:11,2878783,47.97971666666667
1656912251,191200,5596614,2.069999933242798,8227,17465.212890625,29,13,2,2022-07-04T08:24:11,2886,48.10318666666667,1656912259.651321,2022-07-04T08:24:19,2885641,48.09401666666667
1656912257,148200,5602571,1.899999976158142,8188,17495.51171875,64,13,2,2022-07-04T08:24:17,2892,48.20247,1656912267.361769,2022-07-04T08:24:27,2891598,48.1933
1656912268,311200,5613734,2.0199999809265137,8131,17540.0546875,127,13,2,2022-07-04T08:24:28,2903,48.38852,1656912275.4810119,2022-07-04T08:24:35,2902761,48.37935
1656912276,144600,5621686,1.9900000095367432,8089,17573.080078125,170,13,2,2022-07-04T08:24:36,2911,48.51907666666667,1656912284.5322568,2022-07-04T08:24:44,2910713,48.51188333333334
1656912283,983200,5629520,1.7100000381469727,8040,17611.826171875,215,13,2,2022-07-04T08:24:43,2918,48.64972,1656912291.872081,2022-07-04T08:24:51,2918547,48.642450000000004
