time_s,time_us,time_steady,is_open[0],is_open[1],is_open[2],is_open[3],seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656910385,412000,3713198,1,1,1,1,135,12,0,2022-07-04T07:53:05,1020,17.006866666666667,1656910394.830977,2022-07-04T07:53:14,1002225,16.70375,6298.315466626076
1656910409,536000,3737098,1,1,1,1,142,12,0,2022-07-04T07:53:29,1044,17.408933333333334,1656910418.731376,2022-07-04T07:53:38,1026125,17.102083333333333,6441.371501979069
1656910422,371000,3749798,1,1,1,1,26,12,0,2022-07-04T07:53:42,1057,17.622850000000003,1656910429.3209488,2022-07-04T07:53:49,1038825,17.313750000000002,6523.107814141449
1656910433,370000,3761298,1,1,1,1,153,12,0,2022-07-04T07:53:53,1068,17.806166666666666,1656910442.922632,2022-07-04T07:54:02,1050325,17.50541666666667,6594.244430122268
1656910444,855000,3772598,1,1,1,1,21,12,0,2022-07-04T07:54:04,1079,17.997583333333335,1656910453.699916,2022-07-04T07:54:13,1061625,17.69375,6664.057341389921
1656910457,249000,3784598,1,1,1,1,153,12,0,2022-07-04T07:54:17,1092,18.204150000000002,1656910464.101472,2022-07-04T07:54:24,1073625,17.89375,6742.203773651327
1656910467,195000,3794999,1,1,1,1,11,12,0,2022-07-04T07:54:27,1102,18.369916666666665,1656910477.3116798,2022-07-04T07:54:37,1084026,18.0671,6803.774836634031
1656910479,286000,3806599,1,1,1,1,139,12,0,2022-07-04T07:54:39,1114,18.571433333333335,1656910487.900632,2022-07-04T07:54:47,1095626,18.26043333333333,6878.506375382516
1656910485,780000,3812999,1,1,1,1,209,12,0,2022-07-04T07:54:45,1120,18.679666666666666,1656910500.869225,2022-07-04T07:55:00,1102026,18.3671,6919.6288139341905
1656910501,639000,3829065,1,1,1,1,129,12,0,2022-07-04T07:55:01,1136,18.943983333333332,1656910511.7701359,2022-07-04T07:55:11,1118092,18.634866666666667,7009.048117859418
1656910513,703000,3841271,1,1,1,1,7,12,0,2022-07-04T07:55:13,1148,19.14505,1656910522.419124,2022-07-04T07:55:22,1130298,18.8383,7080.666647339845
1656910525,648000,3852871,1,1,1,1,135,12,0,2022-07-04T07:55:25,1160,19.344133333333332,1656910536.320636,2022-07-04T07:55:36,1141898,19.031633333333332,7152.43218755813
1656910533,948000,3861171,1,1,1,1,226,12,0,2022-07-04T07:55:33,1168,19.482466666666667,1656910546.558457,2022-07-04T07:55:46,1150198,19.169966666666667,7201.879655575228
1656910550,609000,3877871,1,1,1,1,154,12,0,2022-07-04T07:55:50,1185,19.76015,1656910560.381393,2022-07-04T07:56:00,1166898,19.4483,7301.120619145104
1656910562,963000,3889971,1,1,1,1,31,12,0,2022-07-04T07:56:02,1197,19.96605,1656910570.4378889,2022-07-04T07:56:10,1178998,19.649966666666668,7376.723911099226
1656910575,140000,3902171,1,1,1,1,165,12,0,2022-07-04T07:56:15,1210,20.169,1656910584.20928,2022-07-04T07:56:24,1191198,19.8533,7469.729085665828
1656910585,58000,3912071,1,1,1,1,18,12,0,2022-07-04T07:56:25,1220,20.3343,1656910594.747673,2022-07-04T07:56:34,1201098,20.0183,7545.427476165028
1656910597,721000,3924971,1,1,1,1,160,12,0,2022-07-04T07:56:37,1232,20.54535,1656910604.8385758,2022-07-04T07:56:44,1213998,20.2333,7627.882971118041
1656910609,813000,3936672,1,1,1,1,33,12,0,2022-07-04T07:56:49,1244,20.746883333333336,1656910618.767009,2022-07-04T07:56:58,1225699,20.428316666666667,7703.3661221214925
1656910621,615000,3948572,1,1,1,1,164,12,0,2022-07-04T07:57:01,1256,20.943583333333333,1656910629.447012,2022-07-04T07:57:09,1237599,20.626649999999998,7774.1280396758675
1656910632,814000,3959572,1,1,1,1,29,12,0,2022-07-04T07:57:12,1267,21.130233333333333,1656910642.586753,2022-07-04T07:57:22,1248599,20.80998333333333,7840.6530149789
1656910644,294000,3971072,1,1,1,1,155,12,0,2022-07-04T07:57:24,1279,21.32156666666667,1656910653.4665,2022-07-04T07:57:33,1260099,21.001649999999998,7913.043165723516
1656910656,661000,3983272,1,1,1,1,33,12,0,2022-07-04T07:57:36,1291,21.527683333333336,1656910663.65712,2022-07-04T07:57:43,1272299,21.204983333333335,7987.077109910803
1656910668,233000,3995372,1,1,1,1,167,12,0,2022-07-04T07:57:48,1303,21.72055,1656910677.3163328,2022-07-04T07:57:57,1284399,21.40665,8060.083537722636
1656910728,285000,4053972,1,1,1,1,43,12,0,2022-07-04T07:58:48,1363,22.721416666666666,1656910736.4153209,2022-07-04T07:58:56,1342999,22.383316666666666,8459.548067086249
1656910763,674000,4089572,1,1,1,1,179,12,0,2022-07-04T07:59:23,1398,23.311233333333334,1656910770.065301,2022-07-04T07:59:30,1378599,22.97665,8698.20901613549
1656910785,112000,4110573,1,1,1,1,154,12,0,2022-07-04T07:59:45,1420,23.668533333333336,1656910795.2643049,2022-07-04T07:59:55,1399600,23.326666666666664,8841.099855838214
1656910797,925000,4123273,1,1,1,1,37,12,0,2022-07-04T07:59:57,1432,23.882083333333334,1656910805.3062088,2022-07-04T08:00:05,1412300,23.538333333333334,8917.392737184022
1656910810,45000,4135473,1,1,1,1,172,12,0,2022-07-04T08:00:10,1445,24.084083333333336,1656910818.9540439,2022-07-04T08:00:18,1424500,23.741666666666667,8988.361870999344
1656910846,757000,4171673,1,1,1,1,58,12,0,2022-07-04T08:00:46,1481,24.69595,1656910854.2733889,2022-07-04T08:00:54,1460700,24.345000000000002,9249.361628010824
1656910858,381000,4183274,1,1,1,1,185,12,0,2022-07-04T08:00:58,1493,24.889683333333334,1656910864.986153,2022-07-04T08:01:04,1472301,24.538349999999998,9304.65805012174
1656910869,391000,4194374,1,1,1,1,52,12,0,2022-07-04T08:01:09,1504,25.073183333333336,1656910878.6133358,2022-07-04T08:01:18,1483401,24.72335,9369.948626379854
1656910879,534000,4204975,1,1,1,1,168,12,0,2022-07-04T08:01:19,1514,25.242233333333335,1656910889.2725089,2022-07-04T08:01:29,1494002,24.900033333333333,9429.78256309327
1656910892,795000,4218775,1,1,1,1,64,12,0,2022-07-04T08:01:32,1527,25.463250000000002,1656910902.315672,2022-07-04T08:01:42,1507802,25.130033333333333,9528.029204002756
1656910905,434000,4230475,1,1,1,1,193,12,0,2022-07-04T08:01:45,1540,25.6739,1656910913.062664,2022-07-04T08:01:53,1519502,25.325033333333334,9624.204028019667
1656910916,970000,4241775,1,1,1,1,61,12,0,2022-07-04T08:01:56,1551,25.86616666666667,1656910927.184,2022-07-04T08:02:07,1530802,25.513366666666666,9701.178300603744
1656910929,581000,4254575,1,1,1,1,202,12,0,2022-07-04T08:02:09,1564,26.076349999999998,1656910937.372416,2022-07-04T08:02:17,1543602,25.7267,9779.86373405667
1656910941,113000,4265875,1,1,1,1,70,12,0,2022-07-04T08:02:21,1576,26.26855,1656910948.082324,2022-07-04T08:02:28,1554902,25.915033333333334,9857.443032508028
1656910953,629000,4278575,1,1,1,1,210,12,0,2022-07-04T08:02:33,1588,26.477149999999998,1656910962.00208,2022-07-04T08:02:42,1567602,26.126700000000003,9958.456356285038
1656910965,832000,4290375,1,1,1,1,84,12,0,2022-07-04T08:02:45,1600,26.680533333333337,1656910972.9711049,2022-07-04T08:02:52,1579402,26.32336666666667,10039.964974177497
1656910978,17000,4302675,1,1,1,1,219,12,0,2022-07-04T08:02:58,1613,26.88361666666667,1656910986.6636329,2022-07-04T08:03:06,1591702,26.528366666666667,10117.175996373568
1656911007,777000,4338275,1,1,1,1,98,12,0,2022-07-04T08:03:27,1642,27.379616666666667,1656911021.38124,2022-07-04T08:03:41,1627302,27.121699999999997,10364.03534045514
1656911021,169000,4345875,1,1,1,1,182,12,0,2022-07-04T08:03:41,1656,27.60281666666667,1656911031.6799638,2022-07-04T08:03:51,1634902,27.248366666666666,10423.037040877905
1656911036,620000,4361375,1,1,1,1,97,12,0,2022-07-04T08:03:56,1671,27.860333333333333,1656911045.4132838,2022-07-04T08:04:05,1650402,27.506700000000002,10538.286793914094
1656911060,389000,4385275,1,1,1,1,103,12,0,2022-07-04T08:04:20,1695,28.256483333333332,1656911069.639364,2022-07-04T08:04:29,1674302,27.905033333333332,10681.24663684896
1656911071,661000,4397275,1,1,1,1,235,12,0,2022-07-04T08:04:31,1706,28.44435,1656911079.7494168,2022-07-04T08:04:39,1686302,28.10503333333333,10738.033137813496
1656911083,228000,4409775,1,1,1,1,117,12,0,2022-07-04T08:04:43,1718,28.637133333333335,1656911090.509393,2022-07-04T08:04:50,1698802,28.313366666666663,10802.699415633968
1656911096,299000,4420676,1,1,1,1,237,12,0,2022-07-04T08:04:56,1731,28.854983333333333,1656911103.688937,2022-07-04T08:05:03,1709703,28.49505,10881.742037081929
1656911107,795000,4432676,1,1,1,1,113,12,0,2022-07-04T08:05:07,1742,29.046583333333334,1656911114.139777,2022-07-04T08:05:14,1721703,28.69505,10953.738963525942
1656911118,213000,4442976,1,1,1,1,226,12,0,2022-07-04T08:05:18,1753,29.220216666666666,1656911128.008909,2022-07-04T08:05:28,1732003,28.866716666666665,11060.317836005708
1656911121,353000,4451676,1,1,1,1,66,12,0,2022-07-04T08:05:21,1756,29.272550000000003,1656911138.478313,2022-07-04T08:05:38,1740703,29.011716666666665,11074.66651669535
1656911137,825000,4462076,1,1,1,1,180,12,0,2022-07-04T08:05:37,1772,29.547083333333333,1656911148.549465,2022-07-04T08:05:48,1751103,29.18505,11154.51885733478
1656911151,712000,4476977,1,1,1,1,88,12,0,2022-07-04T08:05:51,1786,29.778533333333332,1656911162.1699328,2022-07-04T08:06:02,1766004,29.4334,11243.414980061598
1656911164,660000,4488977,1,1,1,1,220,12,0,2022-07-04T08:06:04,1799,29.994333333333334,1656911172.8204238,2022-07-04T08:06:12,1778004,29.633399999999998,11310.122022146576
