time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656912664,615091,6010697,0.2288818359375,6.492000102996826,36,10,2,2022-07-04T08:31:04,3299,54.993584850000005,1656912674.123961,2022-07-04T08:31:14,3299724,54.995400000000004,19404.10884744374
1656912678,854536,6024937,nan,nan,152,10,2,2022-07-04T08:31:18,3313,55.23090893333333,1656912690.144137,2022-07-04T08:31:30,3313964,55.232733333333336,19474.205707382007
1656912697,200030,6043282,nan,nan,48,10,2,2022-07-04T08:31:37,3332,55.53666716666667,1656912705.823417,2022-07-04T08:31:45,3332309,55.53848333333334,19566.24285635765
1656912712,497799,6058580,0.22705078125,6.460000038146973,180,10,2,2022-07-04T08:31:52,3347,55.79162998333334,1656912722.052532,2022-07-04T08:32:02,3347607,55.79345,19642.360668751975
1656912727,690310,6073773,nan,nan,50,10,2,2022-07-04T08:32:07,3362,56.0448385,1656912738.223029,2022-07-04T08:32:18,3362800,56.04666666666667,19719.977398630635
1656912743,200287,6089283,0.2508544921875,6.728000164031982,176,10,2,2022-07-04T08:32:23,3378,56.303338116666666,1656912751.1830409,2022-07-04T08:32:31,3378310,56.305166666666665,19791.30049829467
1656912758,563895,6104646,nan,nan,52,10,2,2022-07-04T08:32:38,3393,56.559398249999994,1656912767.444489,2022-07-04T08:32:47,3393673,56.56121666666666,19867.542075491936
1656912775,60312,6121143,nan,nan,188,10,2,2022-07-04T08:32:55,3410,56.83433853333334,1656912783.393457,2022-07-04T08:33:03,3410170,56.83616666666667,19938.300937205768
1656912791,820284,6137903,nan,nan,74,10,2,2022-07-04T08:33:11,3426,57.1136714,1656912800.243548,2022-07-04T08:33:20,3426930,57.1155,20015.089809879286
1656912822,976317,6168233,nan,nan,70,10,2,2022-07-04T08:33:42,3457,57.63293861666667,1656912831.7642639,2022-07-04T08:33:51,3457260,57.621,20153.634774837992
1656912884,56558,6229140,0.22613525390625,6.48799991607666,68,10,2,2022-07-04T08:34:44,3519,58.65094263333334,1656912892.365684,2022-07-04T08:34:52,3518167,58.636116666666666,20442.794338804364
1656912899,479053,6244563,0.22247314453125,6.415999889373779,194,10,2,2022-07-04T08:34:59,3534,58.90798421666667,1656912907.947381,2022-07-04T08:35:07,3533590,58.893166666666666,20523.382768566127
1656912915,659015,6260743,0.245361328125,6.684000015258789,80,10,2,2022-07-04T08:35:15,3550,59.177650250000006,1656912923.8851569,2022-07-04T08:35:23,3549770,59.16283333333333,20604.44025467853
1656912931,928994,6277013,nan,nan,216,10,2,2022-07-04T08:35:31,3566,59.448816566666665,1656912940.525049,2022-07-04T08:35:40,3566040,59.434,20688.666402401712
1656912962,228976,6307313,nan,nan,212,10,2,2022-07-04T08:36:02,3597,59.953816266666664,1656912972.136976,2022-07-04T08:36:12,3596340,59.939,20854.24820749936
1656912977,897051,6322981,nan,nan,88,10,2,2022-07-04T08:36:17,3612,60.21495085,1656912989.0664759,2022-07-04T08:36:29,3612008,60.20013333333333,20938.55640711345
1656913010,339748,6355448,0.24444580078125,6.671999931335449,100,10,2,2022-07-04T08:36:50,3645,60.755662466666664,1656913017.797865,2022-07-04T08:36:57,3644475,60.74125,21124.73448630885
1656913027,396849,6372505,nan,nan,242,10,2,2022-07-04T08:37:07,3662,61.039947483333336,1656913034.2853608,2022-07-04T08:37:14,3661532,61.025533333333335,21214.06870237517
1656913042,576821,6387685,nan,nan,117,10,2,2022-07-04T08:37:22,3677,61.292947016666666,1656913050.3062758,2022-07-04T08:37:30,3676712,61.278533333333336,21291.741365151225
1656913058,54021,6403163,nan,nan,244,10,2,2022-07-04T08:37:38,3693,61.55090035,1656913066.726836,2022-07-04T08:37:46,3692190,61.536500000000004,21369.403752510356
1656913074,835727,6419944,nan,nan,130,10,2,2022-07-04T08:37:54,3709,61.830595450000004,1656913083.3457599,2022-07-04T08:38:03,3708971,61.816183333333335,21451.593478544233
1656913089,900343,6435009,0.22613525390625,6.6479997634887695,0,10,2,2022-07-04T08:38:09,3724,62.08167238333333,1656913099.3067448,2022-07-04T08:38:19,3724036,62.06726666666667,21522.948771917276
1656913105,32455,6450141,0.22247314453125,6.392000198364258,126,10,2,2022-07-04T08:38:25,3740,62.33387425,1656913114.538013,2022-07-04T08:38:34,3739168,62.31946666666667,21594.93643944112
1656913120,964870,6466074,nan,nan,2,10,2,2022-07-04T08:38:40,3755,62.599414499999995,1656913131.265601,2022-07-04T08:38:51,3755101,62.58501666666667,21669.685066805312
1656913152,921435,6498030,nan,nan,14,10,2,2022-07-04T08:39:12,3787,63.13202391666667,1656913159.946061,2022-07-04T08:39:19,3787057,63.11761666666666,21822.11835013873
1656913183,915448,6529024,nan,nan,16,10,2,2022-07-04T08:39:43,3818,63.6485908,1656913192.355553,2022-07-04T08:39:52,3818051,63.63418333333333,21979.963006454615
1656913197,994493,6543103,nan,nan,132,10,2,2022-07-04T08:39:57,3832,63.88324155,1656913207.586468,2022-07-04T08:40:07,3832130,63.868833333333335,22056.2192746234
1656913212,718429,6557943,nan,nan,2,10,2,2022-07-04T08:40:12,3847,64.12864048333333,1656913223.5158288,2022-07-04T08:40:23,3846970,64.11616666666666,22128.693819693883
1656913229,218537,6574443,0.24078369140625,6.636000156402588,134,10,2,2022-07-04T08:40:29,3864,64.40364228333334,1656913239.696197,2022-07-04T08:40:39,3863470,64.39116666666666,22223.824464910576
1656913245,948442,6591173,0.24078369140625,6.636000156402588,20,10,2,2022-07-04T08:40:45,3880,64.68247403333334,1656913252.515924,2022-07-04T08:40:52,3880200,64.67,22323.045261313127
