time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656910539,492900,3885804,0,2,1122784,2,1132839,2,1122784,2,1132791,166,13,0,2022-07-04T07:55:39,1174,19.574881666666666,1656910550.808377,2022-07-04T07:55:50,1174831,19.580516666666664,7233.662809027588
1656910552,291300,3898603,0,2,1122784,2,1132839,2,1122784,2,1132791,237,13,0,2022-07-04T07:55:52,1187,19.788188333333334,1656910561.4984999,2022-07-04T07:56:01,1187630,19.793833333333335,7311.972517658687
1656910563,227000,3909538,0,2,1122784,2,1132839,2,1122784,2,1132791,43,13,0,2022-07-04T07:56:03,1198,19.970450000000003,1656910571.5482478,2022-07-04T07:56:11,1198565,19.976083333333335,7378.665376992767
1656910570,696200,3917342,0,2,1122784,2,1132839,2,1122784,2,1132791,87,13,0,2022-07-04T07:56:10,1205,20.09493666666667,1656910585.4577808,2022-07-04T07:56:25,1206369,20.10615,7434.976756919407
1656910584,338700,3930945,0,2,1122784,2,1132839,2,1122784,2,1132791,167,13,0,2022-07-04T07:56:24,1219,20.322311666666668,1656910595.288332,2022-07-04T07:56:35,1219972,20.332866666666668,7540.6709501123705
1656910599,828300,3946323,0,2,1122784,2,1132839,2,1122784,2,1132791,0,13,0,2022-07-04T07:56:39,1234,20.580471666666664,1656910609.169008,2022-07-04T07:56:49,1235350,20.589166666666664,7641.29436087101
1656910611,168600,3957753,0,2,1122784,2,1132839,2,1122784,2,1132791,61,13,0,2022-07-04T07:56:51,1246,20.769476666666666,1656910619.948752,2022-07-04T07:56:59,1246780,20.779666666666667,7711.556399819811
1656910622,667800,3968978,0,2,1122784,2,1132839,2,1122784,2,1132791,133,13,0,2022-07-04T07:57:02,1257,20.96113,1656910630.626881,2022-07-04T07:57:10,1258005,20.96675,7780.381945738822
1656910633,483900,3979794,0,2,1122784,2,1132839,2,1122784,2,1132791,194,13,0,2022-07-04T07:57:13,1268,21.14139833333333,1656910644.376688,2022-07-04T07:57:24,1268821,21.147016666666666,7844.9146768497685
1656910646,271900,3992582,0,2,1122784,2,1132839,2,1122784,2,1132791,10,13,0,2022-07-04T07:57:26,1281,21.354531666666666,1656910655.1166968,2022-07-04T07:57:35,1281609,21.360149999999997,7924.865824846788
1656910657,701900,4004407,0,2,1122784,2,1132839,2,1122784,2,1132791,80,13,0,2022-07-04T07:57:37,1292,21.545031666666667,1656910667.9578888,2022-07-04T07:57:47,1293434,21.557233333333333,7993.568144110847
1656910668,244200,4014555,0,2,1122784,2,1132839,2,1122784,2,1132791,134,13,0,2022-07-04T07:57:48,1303,21.720736666666667,1656910679.201825,2022-07-04T07:57:59,1303582,21.726366666666667,8060.164950149162
1656910680,223300,4026533,0,2,1122784,2,1132839,2,1122784,2,1132791,204,13,0,2022-07-04T07:58:00,1315,21.920388333333335,1656910688.695957,2022-07-04T07:58:08,1315560,21.926,8147.240628595046
1656910728,149600,4073685,0,2,1122784,2,1132839,2,1122784,2,1132791,214,13,0,2022-07-04T07:58:48,1363,22.71916,1656910737.526176,2022-07-04T07:58:57,1362712,22.711866666666666,8458.599016078151
1656910742,619600,4088156,0,2,1122784,2,1132839,2,1122784,2,1132791,47,13,0,2022-07-04T07:59:02,1377,22.960326666666667,1656910751.3251529,2022-07-04T07:59:11,1377183,22.95305,8553.346517133175
1656910754,601600,4100137,0,2,1122784,2,1132839,2,1122784,2,1132791,110,13,0,2022-07-04T07:59:14,1389,23.160026666666667,1656910761.894989,2022-07-04T07:59:21,1389164,23.152733333333334,8637.567930923033
1656910766,75000,4111611,0,2,1122784,2,1132839,2,1122784,2,1132791,180,13,0,2022-07-04T07:59:26,1401,23.35125,1656910772.564673,2022-07-04T07:59:32,1400638,23.343966666666667,8713.571931123748
1656910775,347000,4120883,0,2,1122784,2,1132839,2,1122784,2,1132791,233,13,0,2022-07-04T07:59:35,1410,23.505783333333333,1656910785.835741,2022-07-04T07:59:45,1409910,23.4985,8781.503606876857
1656910784,330000,4129866,0,2,1122784,2,1132839,2,1122784,2,1132791,31,13,0,2022-07-04T07:59:44,1419,23.6555,1656910796.4143488,2022-07-04T07:59:56,1418893,23.648216666666666,8836.443566662187
1656910799,769300,4145304,0,2,1122784,2,1132839,2,1122784,2,1132791,120,13,0,2022-07-04T07:59:59,1434,23.912821666666666,1656910810.0758078,2022-07-04T08:00:10,1434331,23.905516666666664,8928.236182646593
1656910809,324400,4155082,0,2,1122784,2,1132839,2,1122784,2,1132791,173,13,0,2022-07-04T08:00:09,1444,24.072073333333332,1656910820.634789,2022-07-04T08:00:20,1444109,24.068483333333333,8984.145460338563
1656910847,763500,4193073,0,2,1122784,2,1132839,2,1122784,2,1132791,130,13,0,2022-07-04T08:00:47,1482,24.712725,1656910856.0144289,2022-07-04T08:00:56,1482100,24.701666666666664,9253.48109643208
1656910859,137600,4204448,0,2,1122784,2,1132839,2,1122784,2,1132791,200,13,0,2022-07-04T08:00:59,1494,24.902293333333333,1656910869.8527958,2022-07-04T08:01:09,1493475,24.89125,9309.388702176118
1656910868,431700,4213742,0,2,1122784,2,1132839,2,1122784,2,1132791,253,13,0,2022-07-04T08:01:08,1503,25.057195,1656910879.794268,2022-07-04T08:01:19,1502769,25.04615,9364.289679767491
