time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909959,931888,3305003,0,0,472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,189,10,0,2022-07-04T07:45:59,594,9.915531466666666,1656909970.3425128,2022-07-04T07:46:10,594030,9.9005,3695.1762518083638
1656909971,939428,3317010,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,225,10,0,2022-07-04T07:46:11,606,10.115657133333334,1656909980.834249,2022-07-04T07:46:20,606037,10.100616666666667,3769.6979055228967
1656909994,932311,3340003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,38,10,0,2022-07-04T07:46:34,629,10.49887185,1656910004.326748,2022-07-04T07:46:44,629030,10.483833333333333,3903.4815566933735
1656910006,940843,3352012,0,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,74,10,0,2022-07-04T07:46:46,641,10.699014049999999,1656910014.306109,2022-07-04T07:46:54,641039,10.683983333333334,3975.0848992387914
1656910018,932275,3364003,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,110,10,0,2022-07-04T07:46:58,653,10.898871250000001,1656910027.784932,2022-07-04T07:47:07,653030,10.883833333333333,4045.5968862814025
1656910063,932279,3409003,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,245,10,0,2022-07-04T07:47:43,698,11.648871316666666,1656910072.426045,2022-07-04T07:47:52,698030,11.633833333333333,4310.555088948017
1656910075,932279,3421003,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,25,10,0,2022-07-04T07:47:55,710,11.848871316666667,1656910085.5968199,2022-07-04T07:48:05,710030,11.833833333333333,4383.415540874936
1656910088,932311,3434003,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,64,10,0,2022-07-04T07:48:08,723,12.065538516666667,1656910097.216177,2022-07-04T07:48:17,723030,12.0505,4460.749268061722
1656910099,942052,3445013,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,97,10,0,2022-07-04T07:48:19,734,12.2490342,1656910107.267133,2022-07-04T07:48:27,734040,12.234,4533.739755521584
1656910112,618287,3458003,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,136,10,0,2022-07-04T07:48:32,747,12.460304783333333,1656910121.147589,2022-07-04T07:48:41,747030,12.4505,4611.433847043922
1656910123,618253,3469003,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,169,10,0,2022-07-04T07:48:43,758,12.64363755,1656910131.647068,2022-07-04T07:48:51,758030,12.633833333333333,4689.031658484522
1656910129,932980,3481003,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,205,10,0,2022-07-04T07:48:49,764,12.748883000000001,1656910145.3157399,2022-07-04T07:49:05,770030,12.833833333333333,4744.473513718434
1656910147,933011,3493003,0,0,561,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,241,10,0,2022-07-04T07:49:07,782,13.048883516666667,1656910155.726465,2022-07-04T07:49:15,782030,13.033833333333332,4816.1325702637305
1656910160,942833,3506013,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,24,10,0,2022-07-04T07:49:20,795,13.265713883333332,1656910169.2065089,2022-07-04T07:49:29,795040,13.250666666666666,4898.448700697924
1656910171,933025,3517003,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,57,10,0,2022-07-04T07:49:31,806,13.44888375,1656910179.465641,2022-07-04T07:49:39,806030,13.433833333333332,4966.169112888849
