time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908526,563045,True,1877,2050,-19,12,-19,2022-07-04T07:22:06,1656908526.569947,2022-07-04T07:22:06
1656908527,161382,True,1878,2051,-19,12,-19,2022-07-04T07:22:07,1656908527.162943,2022-07-04T07:22:07
1656908530,822334,True,1879,2052,-18,12,-19,2022-07-04T07:22:10,1656908530.82388,2022-07-04T07:22:10
1656908531,402041,True,1880,2053,-18,12,-19,2022-07-04T07:22:11,1656908531.403597,2022-07-04T07:22:11
1656908532,201897,True,1881,2054,-19,12,-19,2022-07-04T07:22:12,1656908532.203343,2022-07-04T07:22:12
1656908532,831461,True,1882,2055,-18,12,-19,2022-07-04T07:22:12,1656908532.833004,2022-07-04T07:22:12
1656908533,421306,True,1883,2056,-18,12,-18,2022-07-04T07:22:13,1656908533.422841,2022-07-04T07:22:13
1656908534,96969,True,1884,2057,-20,11,-21,2022-07-04T07:22:14,1656908534.101032,2022-07-04T07:22:14
1656908534,661874,True,1885,2058,-25,12,-26,2022-07-04T07:22:14,1656908534.663423,2022-07-04T07:22:14
1656908535,201431,True,1886,2059,-30,12,-30,2022-07-04T07:22:15,1656908535.202981,2022-07-04T07:22:15
1656908538,752351,True,1887,2060,-30,12,-31,2022-07-04T07:22:18,1656908538.75569,2022-07-04T07:22:18
1656908540,353543,True,1888,2063,-25,12,-26,2022-07-04T07:22:20,1656908540.355161,2022-07-04T07:22:20
1656908540,971208,True,1889,2064,-27,12,-27,2022-07-04T07:22:20,1656908540.972793,2022-07-04T07:22:20
1656908541,521093,True,1890,2065,-24,12,-24,2022-07-04T07:22:21,1656908541.52286,2022-07-04T07:22:21
1656908542,151311,True,1891,2066,-24,12,-25,2022-07-04T07:22:22,1656908542.152906,2022-07-04T07:22:22
1656908542,732809,True,1892,2067,-46,12,-46,2022-07-04T07:22:22,1656908542.734361,2022-07-04T07:22:22
1656908543,362399,True,1893,2068,-38,12,-39,2022-07-04T07:22:23,1656908543.365598,2022-07-04T07:22:23
1656908547,1079,True,1894,2069,-37,11,-38,2022-07-04T07:22:27,1656908547.004393,2022-07-04T07:22:27
1656908547,561814,True,1895,2070,-32,12,-33,2022-07-04T07:22:27,1656908547.563341,2022-07-04T07:22:27
1656908548,131256,True,1896,2071,-27,11,-28,2022-07-04T07:22:28,1656908548.134873,2022-07-04T07:22:28
1656908548,673713,True,1897,2072,-32,12,-32,2022-07-04T07:22:28,1656908548.675274,2022-07-04T07:22:28
1656908549,211900,True,1898,2073,-34,11,-35,2022-07-04T07:22:29,1656908549.213502,2022-07-04T07:22:29
1656908549,761049,True,1899,2074,-28,12,-29,2022-07-04T07:22:29,1656908549.762625,2022-07-04T07:22:29
1656908550,331381,True,1900,2075,-31,12,-31,2022-07-04T07:22:30,1656908550.333313,2022-07-04T07:22:30
1656908550,872396,True,1901,2076,-37,12,-38,2022-07-04T07:22:30,1656908550.874917,2022-07-04T07:22:30
1656908554,971956,True,1902,2078,-18,12,-19,2022-07-04T07:22:34,1656908554.973532,2022-07-04T07:22:34
1656908556,162946,True,1903,2080,-21,11,-22,2022-07-04T07:22:36,1656908556.164662,2022-07-04T07:22:36
1656908556,730908,True,1904,2081,-19,12,-20,2022-07-04T07:22:36,1656908556.732467,2022-07-04T07:22:36
