time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909286,364100,2631696,0,2,1122784,2,1132839,2,1122784,2,1132791,152,13,0,2022-07-04T07:34:46,-79,-1.3105983333333335,-79277,-1.3212833333333334,98.79928026701275,100143.74641148325
1656909289,462100,2634795,0,2,1122784,2,1132839,2,1122784,2,1132791,169,13,0,2022-07-04T07:34:49,-76,-1.258965,-76178,-1.2696333333333334,97.68922925860569,100156.96033755274
1656909290,696100,2636028,0,2,1122784,2,1132839,2,1122784,2,1132791,179,13,0,2022-07-04T07:34:50,-75,-1.2383983333333333,-74945,-1.2490833333333333,97.1818618774414,100163.0
1656909292,53100,2637385,0,2,1122784,2,1132839,2,1122784,2,1132791,187,13,0,2022-07-04T07:34:52,-73,-1.2157816666666668,-73588,-1.2264666666666666,97.31942335815106,100161.36248012718
1656909293,870100,2639203,0,2,1122784,2,1132839,2,1122784,2,1132791,196,13,0,2022-07-04T07:34:53,-72,-1.1854983333333335,-71770,-1.1961666666666666,97.84497220014568,100155.10638297872
1656909296,389100,2641721,0,2,1122784,2,1132839,2,1122784,2,1132791,205,13,0,2022-07-04T07:34:56,-69,-1.143515,-69252,-1.1542,98.0201805155352,100153.02069781194
1656909299,695100,2645027,0,2,1122784,2,1132839,2,1122784,2,1132791,232,13,0,2022-07-04T07:34:59,-66,-1.0884150000000001,-65946,-1.0991,97.65062439397674,100157.41985622693
1656909301,503000,2647099,0,2,1122784,2,1132839,2,1122784,2,1132791,240,13,0,2022-07-04T07:35:01,-64,-1.0582833333333332,-63874,-1.0645666666666667,98.58329419450779,100146.31747825105
1656909303,249400,2648956,0,2,1122784,2,1132839,2,1122784,2,1132791,249,13,0,2022-07-04T07:35:03,-62,-1.0291766666666666,-62017,-1.0336166666666666,98.08779064695659,100152.2158845084
1656909305,274500,2650606,0,2,1122784,2,1132839,2,1122784,2,1132791,2,13,0,2022-07-04T07:35:05,-60,-0.9954249999999999,-60367,-1.0061166666666665,97.90688263135257,100154.3693858845
1656909306,508500,2651840,0,2,1122784,2,1132839,2,1122784,2,1132791,11,13,0,2022-07-04T07:35:06,-59,-0.9748583333333334,-59133,-0.98555,97.54456956266777,100158.68233387358
1656909307,599500,2652932,0,2,1122784,2,1132839,2,1122784,2,1132791,20,13,0,2022-07-04T07:35:07,-58,-0.956675,-58041,-0.9673499999999999,97.77287823627691,100155.96457765668
