time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909231,336000,2576152,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,60,11,0,2022-07-04T07:33:51,-134,-2.227733333333333,-134821,-2.2470166666666667,96.66796454881367
1656909232,353000,2577170,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,89,11,0,2022-07-04T07:33:52,-133,-2.210783333333333,-133803,-2.23005,96.66381945359079
1656909233,371000,2578188,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,118,11,0,2022-07-04T07:33:53,-132,-2.1938166666666663,-132785,-2.213083333333333,97.08544898256508
1656909234,389000,2579205,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,147,11,0,2022-07-04T07:33:54,-131,-2.17685,-131768,-2.1961333333333335,97.83636629681254
1656909235,407000,2580223,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,175,11,0,2022-07-04T07:33:55,-130,-2.159883333333333,-130750,-2.1791666666666667,97.68720907876657
1656909236,426000,2581243,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,205,11,0,2022-07-04T07:33:56,-129,-2.1429,-129730,-2.1621666666666663,97.6183254586124
1656909237,445000,2582261,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,234,11,0,2022-07-04T07:33:57,-128,-2.125916666666667,-128712,-2.1452,97.65667480059972
1656909238,463000,2583280,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,7,11,0,2022-07-04T07:33:58,-127,-2.10895,-127693,-2.1282166666666664,97.4726907796405
1656909239,483000,2584299,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,36,11,0,2022-07-04T07:33:59,-126,-2.0919499999999998,-126674,-2.1112333333333333,96.59381866455078
1656909240,501000,2585318,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,65,11,0,2022-07-04T07:34:00,-125,-2.0749833333333334,-125655,-2.09425,96.59381866455078
1656909241,519000,2586336,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,94,11,0,2022-07-04T07:34:01,-124,-2.0580166666666666,-124637,-2.0772833333333334,97.6752069325657
1656909242,537000,2587353,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,123,11,0,2022-07-04T07:34:02,-123,-2.04105,-123620,-2.0603333333333333,98.0442256597552
1656909243,555000,2588371,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,152,11,0,2022-07-04T07:34:03,-122,-2.024083333333333,-122602,-2.0433666666666666,98.34350584373631
1656909249,659000,2594475,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,70,11,0,2022-07-04T07:34:09,-116,-1.92235,-116498,-1.9416333333333333,96.89147516794584
1656909250,676000,2595493,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,99,11,0,2022-07-04T07:34:10,-115,-1.9054,-115480,-1.9246666666666667,97.18323043553768
1656909251,694000,2596510,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,128,11,0,2022-07-04T07:34:11,-114,-1.8884333333333332,-114463,-1.9077166666666665,97.48925355237715
1656909252,712000,2597528,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,157,11,0,2022-07-04T07:34:12,-113,-1.8714666666666666,-113445,-1.89075,97.87992791166694
1656909253,729000,2598546,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,186,11,0,2022-07-04T07:34:13,-112,-1.8545166666666666,-112427,-1.8737833333333334,98.27021850439554
1656909254,747000,2599564,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,215,11,0,2022-07-04T07:34:14,-111,-1.83755,-111409,-1.8568166666666668,97.6005464102178
1656909255,766000,2600582,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,244,11,0,2022-07-04T07:34:15,-110,-1.8205666666666667,-110391,-1.83985,97.09785461425781
1656909256,784000,2601600,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,17,11,0,2022-07-04T07:34:16,-109,-1.8035999999999999,-109373,-1.8228833333333334,97.11273876088786
1656909257,803000,2602619,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,46,11,0,2022-07-04T07:34:17,-108,-1.7866166666666667,-108354,-1.8059,97.2384153791441
1656909258,821000,2603637,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,75,11,0,2022-07-04T07:34:18,-107,-1.76965,-107336,-1.7889333333333333,97.71303586334321
1656909259,839000,2604656,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,104,11,0,2022-07-04T07:34:19,-106,-1.7526833333333334,-106317,-1.77195,98.14753165247078
