time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656915260,400500,8605698,21.21070098876953,112,13,0,2022-07-04T09:14:20,5895,98.256675,5894725,98.24541666666667,5707.92247315414,49135.69724626275
1656915261,671500,8606969,21.224746704101562,120,13,0,2022-07-04T09:14:21,5896,98.27785833333334,5895996,98.2666,5697.052808579426,49208.2828597617
1656915262,762500,8608060,21.21070098876953,130,13,0,2022-07-04T09:14:22,5897,98.29604166666667,5897087,98.28478333333334,5686.680240945096,49277.63134738769
1656915263,853500,8609151,21.21070098876953,138,13,0,2022-07-04T09:14:23,5898,98.31422500000001,5898178,98.30296666666666,5676.161289098302,49348.03538038498
1656915264,944500,8610242,21.21070098876953,147,13,0,2022-07-04T09:14:24,5899,98.33240833333333,5899269,98.32115,5667.7295741744365,49404.52479740678
1656915266,215500,8611513,21.21070098876953,157,13,0,2022-07-04T09:14:26,5901,98.35359166666667,5900540,98.34233333333333,5657.891738523655,49470.51382978726
1656915267,306500,8612604,21.224746704101562,165,13,0,2022-07-04T09:14:27,5902,98.371775,5901631,98.36051666666667,5647.038337999832,49543.38386801097
1656915268,397500,8613695,21.224746704101562,173,13,0,2022-07-04T09:14:28,5903,98.38995833333334,5902722,98.3787,5637.450483000112,49607.833363886355
1656915269,488500,8614786,21.238792419433594,183,13,0,2022-07-04T09:14:29,5904,98.40814166666668,5903813,98.39688333333334,5627.709450994642,49673.38386801101
1656915270,579500,8615877,21.238792419433594,192,13,0,2022-07-04T09:14:30,5905,98.42632499999999,5904904,98.41506666666668,5618.305894956382,49736.72965299682
1656915271,847500,8617145,21.25284194946289,200,13,0,2022-07-04T09:14:31,5906,98.44745833333333,5906172,98.4362,5607.680368676957,49808.38386801101
1656915272,938500,8618236,21.25284194946289,210,13,0,2022-07-04T09:14:32,5907,98.46564166666667,5907263,98.45438333333333,5598.13396826306,49872.833363886355
1656915274,29500,8619327,21.25284194946289,218,13,0,2022-07-04T09:14:34,5909,98.483825,5908354,98.47256666666667,5588.402214764985,49938.608615948644
1656915275,120500,8620418,21.266887664794922,226,13,0,2022-07-04T09:14:35,5910,98.50200833333334,5909445,98.49074999999999,5578.960583216371,50002.48487626032
1656915276,388500,8621686,21.25284194946289,237,13,0,2022-07-04T09:14:36,5911,98.52314166666666,5910713,98.51188333333333,5568.35747940593,50074.305362776024
1656915277,479500,8622777,21.25284194946289,245,13,0,2022-07-04T09:14:37,5912,98.541325,5911804,98.53006666666667,5558.957525438959,50138.03538038498
1656915278,570500,8623868,21.266887664794922,253,13,0,2022-07-04T09:14:38,5913,98.55950833333333,5912895,98.54825000000001,5550.247027794889,50197.1591200733
1656915279,661500,8624959,21.25284194946289,7,13,0,2022-07-04T09:14:39,5914,98.57769166666667,5913986,98.56643333333334,5540.974210515007,50260.15912007334
1656915280,752500,8626050,21.25284194946289,15,13,0,2022-07-04T09:14:40,5915,98.59587499999999,5915077,98.58461666666668,5531.688719162811,50323.30977917978
1656915282,20500,8627318,21.266887664794922,24,13,0,2022-07-04T09:14:42,5917,98.61700833333333,5916345,98.60575,5520.808690511147,50397.38386801097
1656915283,111500,8628409,21.28093719482422,34,13,0,2022-07-04T09:14:43,5918,98.63519166666667,5917436,98.62393333333333,5511.452096073698,50461.15912007334
1656915284,202500,8629500,21.28093719482422,42,13,0,2022-07-04T09:14:44,5919,98.65337500000001,5918527,98.64211666666667,5502.284185416188,50523.709624197996
1656915285,293500,8630591,21.28093719482422,50,13,0,2022-07-04T09:14:45,5920,98.67155833333332,5919618,98.6603,5493.221098225543,50585.608615948644
1656915286,384500,8631682,21.266887664794922,60,13,0,2022-07-04T09:14:46,5921,98.68974166666666,5920709,98.67848333333333,5483.644455466283,50651.08328075711
1656915287,652500,8632950,21.28093719482422,69,13,0,2022-07-04T09:14:47,5922,98.710875,5921977,98.69961666666667,5472.153771804821,50729.73235563705
1656915288,743500,8634041,21.28093719482422,77,13,0,2022-07-04T09:14:48,5923,98.72905833333333,5923068,98.7178,5462.397236444493,50796.5858845096
1656915289,834500,8635132,21.294981002807617,87,13,0,2022-07-04T09:14:49,5924,98.74724166666667,5924159,98.73598333333332,5454.16773056184,50853.03538038498
1656915290,925500,8636223,21.294981002807617,95,13,0,2022-07-04T09:14:50,5925,98.76542500000001,5925250,98.75416666666666,5445.791599180638,50910.539732494115
